,Arquivo,precision,recall,f1-score,false_positives,false_negatives,samples
bitter frustration,fineclassify_deepseek-llm_7b_role_prompting.csv,0.06768792304951905,0.7723577235772358,0.12446773665247297,5234.0,110.0,490.0
impatience,fineclassify_deepseek-llm_7b_role_prompting.csv,0.037815126050420166,0.16917293233082706,0.061813186813186816,1145.0,220.0,265.0
mocking,fineclassify_deepseek-llm_7b_role_prompting.csv,0.2,0.01507537688442211,0.028037383177570093,12.0,193.0,196.0
irony,fineclassify_deepseek-llm_7b_role_prompting.csv,0.0,0.0,0.0,1.0,62.0,62.0
vulgarity,fineclassify_deepseek-llm_7b_role_prompting.csv,0.16666666666666666,0.014084507042253521,0.025974025974025976,5.0,68.0,69.0
threat,fineclassify_deepseek-llm_7b_role_prompting.csv,0.09090909090909091,0.043478260869565216,0.058823529411764705,10.0,22.0,23.0
ia (name calling),fineclassify_deepseek-llm_7b_role_prompting.csv,0.0,0.0,0.0,0.0,28.0,28.0
none,fineclassify_deepseek-llm_7b_role_prompting.csv,0.862876254180602,0.04243421052631579,0.08089042169619062,41.0,5745.0,6003.0
bitter frustration,fineclassify_deepseek-llm_7b_zero_shot.csv,0.08744394618834081,0.5548780487804879,0.1510791366906475,2849.0,216.0,489.0
impatience,fineclassify_deepseek-llm_7b_zero_shot.csv,0.044349070100143065,0.11654135338345864,0.06424870466321243,668.0,234.0,265.0
mocking,fineclassify_deepseek-llm_7b_zero_shot.csv,0.2962962962962963,0.04020100502512563,0.07079646017699115,19.0,185.0,193.0
irony,fineclassify_deepseek-llm_7b_zero_shot.csv,0.047619047619047616,0.015625,0.023529411764705882,20.0,62.0,63.0
vulgarity,fineclassify_deepseek-llm_7b_zero_shot.csv,0.2,0.056338028169014086,0.08791208791208792,16.0,64.0,68.0
threat,fineclassify_deepseek-llm_7b_zero_shot.csv,0.0,0.0,0.0,27.0,23.0,23.0
ia (name calling),fineclassify_deepseek-llm_7b_zero_shot.csv,0.0,0.0,0.0,1.0,28.0,28.0
none,fineclassify_deepseek-llm_7b_zero_shot.csv,0.8542731921110299,0.38470394736842106,0.5305057836244046,399.0,3187.0,5526.0
bitter frustration,fineclassify_deepseek-llm_7b_zero_shot_auto_cot.csv,0.08605504587155963,0.9532520325203252,0.15785930663076406,4981.0,19.0,488.0
impatience,fineclassify_deepseek-llm_7b_zero_shot_auto_cot.csv,0.012422360248447204,0.007518796992481203,0.00936768149882904,159.0,259.0,261.0
mocking,fineclassify_deepseek-llm_7b_zero_shot_auto_cot.csv,0.1,0.01507537688442211,0.026200873362445413,27.0,193.0,196.0
irony,fineclassify_deepseek-llm_7b_zero_shot_auto_cot.csv,0.0,0.0,0.0,2.0,63.0,63.0
vulgarity,fineclassify_deepseek-llm_7b_zero_shot_auto_cot.csv,0.008,0.014084507042253521,0.01020408163265306,124.0,68.0,69.0
threat,fineclassify_deepseek-llm_7b_zero_shot_auto_cot.csv,0.0,0.0,0.0,14.0,23.0,23.0
ia (name calling),fineclassify_deepseek-llm_7b_zero_shot_auto_cot.csv,0.0,0.0,0.0,1.0,28.0,28.0
none,fineclassify_deepseek-llm_7b_zero_shot_auto_cot.csv,0.9534883720930233,0.006743421052631579,0.013392128041809571,2.0,4657.0,4698.0
bitter frustration,fineclassify_gemma2_9b_fewshot_3.csv,0.23790322580645162,0.11991869918699187,0.15945945945945947,189.0,136.0,195.0
impatience,fineclassify_gemma2_9b_fewshot_3.csv,0.09379310344827586,0.2556390977443609,0.13723511604439959,657.0,75.0,143.0
mocking,fineclassify_gemma2_9b_fewshot_3.csv,0.425531914893617,0.10050251256281408,0.16260162601626016,27.0,119.0,139.0
irony,fineclassify_gemma2_9b_fewshot_3.csv,0.1111111111111111,0.0625,0.08,32.0,34.0,38.0
vulgarity,fineclassify_gemma2_9b_fewshot_3.csv,0.5555555555555556,0.2112676056338028,0.30612244897959184,12.0,24.0,39.0
threat,fineclassify_gemma2_9b_fewshot_3.csv,0.29411764705882354,0.21739130434782608,0.25,12.0,8.0,13.0
ia (name calling),fineclassify_gemma2_9b_fewshot_3.csv,0.0,0.0,0.0,0.0,10.0,10.0
none,fineclassify_gemma2_9b_fewshot_3.csv,0.938034188034188,0.5776315789473684,0.7149837133550488,232.0,755.0,4267.0
bitter frustration,fineclassify_gemma2_9b_fewshot_5.csv,0.25676784249384743,0.6361788617886179,0.36586791350087666,906.0,164.0,477.0
impatience,fineclassify_gemma2_9b_fewshot_5.csv,0.0482560917343526,0.37969924812030076,0.08562950402713014,1992.0,161.0,262.0
mocking,fineclassify_gemma2_9b_fewshot_5.csv,0.3561643835616438,0.2613065326633166,0.30144927536231886,94.0,145.0,197.0
irony,fineclassify_gemma2_9b_fewshot_5.csv,0.15384615384615385,0.09375,0.11650485436893204,33.0,56.0,62.0
vulgarity,fineclassify_gemma2_9b_fewshot_5.csv,0.5714285714285714,0.16901408450704225,0.2608695652173913,9.0,57.0,69.0
threat,fineclassify_gemma2_9b_fewshot_5.csv,0.6111111111111112,0.4782608695652174,0.5365853658536586,7.0,10.0,21.0
ia (name calling),fineclassify_gemma2_9b_fewshot_5.csv,0.5555555555555556,0.17857142857142858,0.2702702702702703,4.0,23.0,28.0
none,fineclassify_gemma2_9b_fewshot_5.csv,0.9254464285714286,0.34095394736842105,0.4983173076923077,167.0,2596.0,4669.0
bitter frustration,fineclassify_gemma2_9b_oneshot.csv,0.2409823484267076,0.6382113821138211,0.3498607242339833,989.0,177.0,491.0
impatience,fineclassify_gemma2_9b_oneshot.csv,0.08690987124463519,0.30451127819548873,0.1352253756260434,851.0,185.0,266.0
mocking,fineclassify_gemma2_9b_oneshot.csv,0.30973451327433627,0.17587939698492464,0.22435897435897437,78.0,163.0,198.0
irony,fineclassify_gemma2_9b_oneshot.csv,0.05063291139240506,0.0625,0.055944055944055944,75.0,59.0,63.0
vulgarity,fineclassify_gemma2_9b_oneshot.csv,0.5757575757575758,0.2676056338028169,0.36538461538461536,14.0,52.0,71.0
threat,fineclassify_gemma2_9b_oneshot.csv,0.36,0.391304347826087,0.375,16.0,14.0,23.0
ia (name calling),fineclassify_gemma2_9b_oneshot.csv,0.0,0.0,0.0,1.0,23.0,23.0
none,fineclassify_gemma2_9b_oneshot.csv,0.940715646834639,0.7307565789473685,0.8225492918633713,280.0,1631.0,6074.0
bitter frustration,fineclassify_gemma2_9b_role_prompting.csv,0.184033177812338,0.7215447154471545,0.2932672449401074,1574.0,137.0,492.0
impatience,fineclassify_gemma2_9b_role_prompting.csv,0.08597285067873303,0.21428571428571427,0.12271259418729817,606.0,209.0,266.0
mocking,fineclassify_gemma2_9b_role_prompting.csv,0.23577235772357724,0.1457286432160804,0.18012422360248448,94.0,170.0,199.0
irony,fineclassify_gemma2_9b_role_prompting.csv,0.04205607476635514,0.140625,0.06474820143884892,205.0,55.0,64.0
vulgarity,fineclassify_gemma2_9b_role_prompting.csv,0.6538461538461539,0.23943661971830985,0.35051546391752575,9.0,54.0,71.0
threat,fineclassify_gemma2_9b_role_prompting.csv,0.22413793103448276,0.5652173913043478,0.32098765432098764,45.0,10.0,23.0
ia (name calling),fineclassify_gemma2_9b_role_prompting.csv,0.25,0.32142857142857145,0.28125,27.0,19.0,28.0
none,fineclassify_gemma2_9b_role_prompting.csv,0.9337286362050924,0.44029605263157895,0.5984128758242987,190.0,2096.0,4773.0
bitter frustration,fineclassify_gemma2_9b_zero_shot.csv,0.20212765957446807,0.733739837398374,0.3169446883230904,1425.0,131.0,492.0
impatience,fineclassify_gemma2_9b_zero_shot.csv,0.07258064516129033,0.20300751879699247,0.10693069306930693,690.0,212.0,266.0
mocking,fineclassify_gemma2_9b_zero_shot.csv,0.26842105263157895,0.2562814070351759,0.2622107969151671,139.0,147.0,198.0
irony,fineclassify_gemma2_9b_zero_shot.csv,0.04487179487179487,0.21875,0.07446808510638298,298.0,50.0,64.0
vulgarity,fineclassify_gemma2_9b_zero_shot.csv,0.5882352941176471,0.14084507042253522,0.22727272727272727,7.0,61.0,71.0
threat,fineclassify_gemma2_9b_zero_shot.csv,0.2972972972972973,0.4782608695652174,0.36666666666666664,26.0,12.0,23.0
ia (name calling),fineclassify_gemma2_9b_zero_shot.csv,0.5,0.32142857142857145,0.391304347826087,9.0,19.0,28.0
none,fineclassify_gemma2_9b_zero_shot.csv,0.9625121713729309,0.6503289473684211,0.7762073027090695,154.0,2116.0,6070.0
bitter frustration,fineclassify_gemma2_9b_zero_shot_auto_cot.csv,0.2046285018270402,0.6829268292682927,0.3149015932521087,1306.0,156.0,492.0
impatience,fineclassify_gemma2_9b_zero_shot_auto_cot.csv,0.061174551386623165,0.2819548872180451,0.10053619302949061,1151.0,191.0,266.0
mocking,fineclassify_gemma2_9b_zero_shot_auto_cot.csv,0.27979274611398963,0.271356783919598,0.2755102040816326,139.0,145.0,199.0
irony,fineclassify_gemma2_9b_zero_shot_auto_cot.csv,0.042492917847025496,0.234375,0.07194244604316546,338.0,49.0,64.0
vulgarity,fineclassify_gemma2_9b_zero_shot_auto_cot.csv,0.631578947368421,0.16901408450704225,0.26666666666666666,7.0,59.0,71.0
threat,fineclassify_gemma2_9b_zero_shot_auto_cot.csv,0.26666666666666666,0.5217391304347826,0.35294117647058826,33.0,11.0,23.0
ia (name calling),fineclassify_gemma2_9b_zero_shot_auto_cot.csv,0.32,0.2857142857142857,0.3018867924528302,17.0,20.0,28.0
none,fineclassify_gemma2_9b_zero_shot_auto_cot.csv,0.965016146393972,0.5898026315789474,0.7321355655369539,130.0,2490.0,6076.0
bitter frustration,fineclassify_gemma_7b_fewshot_3.csv,0.12903225806451613,0.016260162601626018,0.02888086642599278,54.0,464.0,472.0
impatience,fineclassify_gemma_7b_fewshot_3.csv,0.07647058823529412,0.04887218045112782,0.05963302752293578,157.0,238.0,251.0
mocking,fineclassify_gemma_7b_fewshot_3.csv,0.052083333333333336,0.07537688442211055,0.061601642710472276,273.0,180.0,195.0
irony,fineclassify_gemma_7b_fewshot_3.csv,0.12,0.046875,0.06741573033707865,22.0,60.0,63.0
vulgarity,fineclassify_gemma_7b_fewshot_3.csv,0.010438413361169102,0.49295774647887325,0.02044392523364486,3318.0,33.0,68.0
threat,fineclassify_gemma_7b_fewshot_3.csv,0.006064690026954178,0.782608695652174,0.012036108324974924,2950.0,5.0,23.0
ia (name calling),fineclassify_gemma_7b_fewshot_3.csv,0.3333333333333333,0.07142857142857142,0.11764705882352941,4.0,24.0,26.0
none,fineclassify_gemma_7b_fewshot_3.csv,0.8392857142857143,0.007730263157894737,0.015319426336375489,9.0,5783.0,5830.0
bitter frustration,fineclassify_gemma_7b_fewshot_5.csv,0.18493803622497618,0.3943089430894309,0.2517845554834523,855.0,291.0,485.0
impatience,fineclassify_gemma_7b_fewshot_5.csv,0.028810637773947302,0.4398496240601504,0.05407903859486943,3944.0,147.0,264.0
mocking,fineclassify_gemma_7b_fewshot_5.csv,0.07142857142857142,0.592964824120603,0.12749864937871422,1534.0,80.0,198.0
irony,fineclassify_gemma_7b_fewshot_5.csv,0.14705882352941177,0.078125,0.10204081632653061,29.0,58.0,63.0
vulgarity,fineclassify_gemma_7b_fewshot_5.csv,0.07951070336391437,0.36619718309859156,0.1306532663316583,301.0,43.0,69.0
threat,fineclassify_gemma_7b_fewshot_5.csv,0.3,0.2608695652173913,0.27906976744186046,14.0,16.0,22.0
ia (name calling),fineclassify_gemma_7b_fewshot_5.csv,0.5,0.14285714285714285,0.2222222222222222,4.0,24.0,28.0
none,fineclassify_gemma_7b_fewshot_5.csv,1.0,0.0029605263157894738,0.005903574942604133,0.0,6022.0,6040.0
bitter frustration,fineclassify_gemma_7b_oneshot.csv,0.14051841746248295,0.20934959349593496,0.16816326530612244,630.0,383.0,486.0
impatience,fineclassify_gemma_7b_oneshot.csv,0.05277777777777778,0.14285714285714285,0.07707910750507099,682.0,225.0,263.0
mocking,fineclassify_gemma_7b_oneshot.csv,0.053555750658472345,0.3065326633165829,0.09118086696562033,1078.0,138.0,199.0
irony,fineclassify_gemma_7b_oneshot.csv,0.014492753623188406,0.015625,0.015037593984962405,68.0,63.0,64.0
vulgarity,fineclassify_gemma_7b_oneshot.csv,0.0389937106918239,0.43661971830985913,0.07159353348729793,764.0,40.0,71.0
threat,fineclassify_gemma_7b_oneshot.csv,0.006029544769369913,0.8695652173913043,0.011976047904191617,3297.0,3.0,23.0
ia (name calling),fineclassify_gemma_7b_oneshot.csv,0.2222222222222222,0.14285714285714285,0.17391304347826086,14.0,24.0,28.0
none,fineclassify_gemma_7b_oneshot.csv,0.8972972972972973,0.05460526315789474,0.10294573643410852,38.0,5695.0,6027.0
bitter frustration,fineclassify_gemma_7b_role_prompting.csv,0.19268635724331926,0.556910569105691,0.28631138975966564,1148.0,207.0,481.0
impatience,fineclassify_gemma_7b_role_prompting.csv,0.03220917014020462,0.31954887218045114,0.058519793459552494,2554.0,173.0,258.0
mocking,fineclassify_gemma_7b_role_prompting.csv,0.23529411764705882,0.12060301507537688,0.15946843853820597,78.0,156.0,180.0
irony,fineclassify_gemma_7b_role_prompting.csv,0.02821316614420063,0.140625,0.04699738903394256,310.0,54.0,63.0
vulgarity,fineclassify_gemma_7b_role_prompting.csv,0.48214285714285715,0.38028169014084506,0.4251968503937008,29.0,44.0,71.0
threat,fineclassify_gemma_7b_role_prompting.csv,0.23529411764705882,0.34782608695652173,0.2807017543859649,26.0,12.0,20.0
ia (name calling),fineclassify_gemma_7b_role_prompting.csv,0.09803921568627451,0.17857142857142858,0.12658227848101267,46.0,19.0,24.0
none,fineclassify_gemma_7b_role_prompting.csv,0.9062772449869224,0.3419407894736842,0.49653689992834965,215.0,3741.0,5820.0
bitter frustration,fineclassify_gemma_7b_zero_shot.csv,0.17770897832817337,0.5833333333333334,0.2724252491694352,1328.0,204.0,491.0
impatience,fineclassify_gemma_7b_zero_shot.csv,0.027092846270928464,0.33458646616541354,0.050126724866234866,3196.0,176.0,265.0
mocking,fineclassify_gemma_7b_zero_shot.csv,0.20359281437125748,0.1708542713567839,0.18579234972677597,133.0,161.0,195.0
irony,fineclassify_gemma_7b_zero_shot.csv,0.01532567049808429,0.0625,0.024615384615384615,257.0,60.0,64.0
vulgarity,fineclassify_gemma_7b_zero_shot.csv,0.20430107526881722,0.2676056338028169,0.23170731707317074,74.0,52.0,71.0
threat,fineclassify_gemma_7b_zero_shot.csv,0.136986301369863,0.43478260869565216,0.20833333333333334,63.0,13.0,23.0
ia (name calling),fineclassify_gemma_7b_zero_shot.csv,0.14285714285714285,0.10714285714285714,0.12244897959183673,18.0,25.0,28.0
none,fineclassify_gemma_7b_zero_shot.csv,0.8890339425587467,0.22401315789473683,0.3578560168155544,170.0,4548.0,5910.0
bitter frustration,fineclassify_gemma_7b_zero_shot_auto_cot.csv,0.1990521327014218,0.5121951219512195,0.28668941979522183,1014.0,237.0,489.0
impatience,fineclassify_gemma_7b_zero_shot_auto_cot.csv,0.03398533007334963,0.5225563909774437,0.06382001836547291,3951.0,126.0,265.0
mocking,fineclassify_gemma_7b_zero_shot_auto_cot.csv,0.16666666666666666,0.23618090452261306,0.19542619542619544,235.0,147.0,194.0
irony,fineclassify_gemma_7b_zero_shot_auto_cot.csv,0.008902077151335312,0.046875,0.014962593516209476,334.0,61.0,64.0
vulgarity,fineclassify_gemma_7b_zero_shot_auto_cot.csv,0.1925925925925926,0.36619718309859156,0.2524271844660194,109.0,45.0,71.0
threat,fineclassify_gemma_7b_zero_shot_auto_cot.csv,0.01761252446183953,0.391304347826087,0.033707865168539325,502.0,14.0,23.0
ia (name calling),fineclassify_gemma_7b_zero_shot_auto_cot.csv,0.057692307692307696,0.10714285714285714,0.075,49.0,25.0,28.0
none,fineclassify_gemma_7b_zero_shot_auto_cot.csv,0.8893528183716075,0.0700657894736842,0.1298978502820552,53.0,5592.0,6018.0
bitter frustration,fineclassify_llama3_1_8b_fewshot_3.csv,0.26294820717131473,0.4024390243902439,0.3180722891566265,555.0,191.0,389.0
impatience,fineclassify_llama3_1_8b_fewshot_3.csv,0.12140992167101827,0.34962406015037595,0.18023255813953487,673.0,147.0,240.0
mocking,fineclassify_llama3_1_8b_fewshot_3.csv,0.15384615384615385,0.010050251256281407,0.018867924528301886,11.0,179.0,181.0
irony,fineclassify_llama3_1_8b_fewshot_3.csv,0.6,0.046875,0.08695652173913043,2.0,54.0,57.0
vulgarity,fineclassify_llama3_1_8b_fewshot_3.csv,0.29838709677419356,0.5211267605633803,0.37948717948717947,87.0,27.0,64.0
threat,fineclassify_llama3_1_8b_fewshot_3.csv,0.05673758865248227,0.34782608695652173,0.0975609756097561,133.0,14.0,22.0
ia (name calling),fineclassify_llama3_1_8b_fewshot_3.csv,0.1282051282051282,0.35714285714285715,0.18867924528301888,68.0,13.0,23.0
none,fineclassify_llama3_1_8b_fewshot_3.csv,0.936989247311828,0.7166118421052632,0.8121155638397017,293.0,1197.0,5554.0
bitter frustration,fineclassify_llama3_1_8b_fewshot_5.csv,0.3080459770114943,0.5447154471544715,0.3935389133627019,602.0,224.0,492.0
impatience,fineclassify_llama3_1_8b_fewshot_5.csv,0.04299889746416759,0.4398496240601504,0.07833947104117844,2604.0,149.0,266.0
mocking,fineclassify_llama3_1_8b_fewshot_5.csv,0.2903225806451613,0.04522613065326633,0.0782608695652174,22.0,190.0,199.0
irony,fineclassify_llama3_1_8b_fewshot_5.csv,0.3333333333333333,0.09375,0.14634146341463414,12.0,58.0,64.0
vulgarity,fineclassify_llama3_1_8b_fewshot_5.csv,0.42028985507246375,0.4084507042253521,0.4142857142857143,40.0,42.0,71.0
threat,fineclassify_llama3_1_8b_fewshot_5.csv,0.3225806451612903,0.43478260869565216,0.37037037037037035,21.0,13.0,23.0
ia (name calling),fineclassify_llama3_1_8b_fewshot_5.csv,0.4,0.2857142857142857,0.3333333333333333,12.0,19.0,27.0
none,fineclassify_llama3_1_8b_fewshot_5.csv,0.9150232018561485,0.5189144736842105,0.6622586062132662,293.0,2911.0,6066.0
bitter frustration,fineclassify_llama3_1_8b_oneshot.csv,0.20628930817610064,0.6666666666666666,0.3150816522574448,1262.0,158.0,486.0
impatience,fineclassify_llama3_1_8b_oneshot.csv,0.08561643835616438,0.18796992481203006,0.11764705882352941,534.0,216.0,266.0
mocking,fineclassify_llama3_1_8b_oneshot.csv,0.3076923076923077,0.020100502512562814,0.03773584905660377,9.0,191.0,195.0
irony,fineclassify_llama3_1_8b_oneshot.csv,0.10344827586206896,0.046875,0.06451612903225806,26.0,59.0,62.0
vulgarity,fineclassify_llama3_1_8b_oneshot.csv,0.23295454545454544,0.5774647887323944,0.3319838056680162,135.0,28.0,69.0
threat,fineclassify_llama3_1_8b_oneshot.csv,0.4166666666666667,0.21739130434782608,0.2857142857142857,7.0,18.0,23.0
ia (name calling),fineclassify_llama3_1_8b_oneshot.csv,0.11764705882352941,0.07142857142857142,0.08888888888888889,15.0,21.0,23.0
none,fineclassify_llama3_1_8b_oneshot.csv,0.9337109293056429,0.7320723684210526,0.8206877477643588,316.0,1613.0,6064.0
bitter frustration,fineclassify_llama3_1_8b_role_prompting.csv,0.2970922882427307,0.47764227642276424,0.36632891660171474,556.0,255.0,490.0
impatience,fineclassify_llama3_1_8b_role_prompting.csv,0.11554921540656206,0.30451127819548873,0.16752843846949328,620.0,185.0,266.0
mocking,fineclassify_llama3_1_8b_role_prompting.csv,0.35,0.035175879396984924,0.0639269406392694,13.0,187.0,194.0
irony,fineclassify_llama3_1_8b_role_prompting.csv,0.12121212121212122,0.0625,0.08247422680412371,29.0,59.0,63.0
vulgarity,fineclassify_llama3_1_8b_role_prompting.csv,0.5245901639344263,0.4507042253521127,0.48484848484848486,29.0,38.0,70.0
threat,fineclassify_llama3_1_8b_role_prompting.csv,0.4166666666666667,0.43478260869565216,0.425531914893617,14.0,13.0,23.0
ia (name calling),fineclassify_llama3_1_8b_role_prompting.csv,0.22857142857142856,0.2857142857142857,0.25396825396825395,27.0,18.0,26.0
none,fineclassify_llama3_1_8b_role_prompting.csv,0.8998576174655909,0.6236842105263158,0.736739848455411,422.0,955.0,4747.0
bitter frustration,fineclassify_llama3_1_8b_zero_shot.csv,0.26216484607745777,0.5365853658536586,0.352234823215477,743.0,228.0,492.0
impatience,fineclassify_llama3_1_8b_zero_shot.csv,0.08568646543330087,0.3308270676691729,0.13611755607115236,939.0,177.0,265.0
mocking,fineclassify_llama3_1_8b_zero_shot.csv,0.2962962962962963,0.04020100502512563,0.07079646017699115,19.0,187.0,195.0
irony,fineclassify_llama3_1_8b_zero_shot.csv,0.0707070707070707,0.109375,0.08588957055214724,92.0,57.0,64.0
vulgarity,fineclassify_llama3_1_8b_zero_shot.csv,0.43037974683544306,0.4788732394366197,0.4533333333333333,45.0,36.0,70.0
threat,fineclassify_llama3_1_8b_zero_shot.csv,0.17307692307692307,0.391304347826087,0.24,43.0,14.0,23.0
ia (name calling),fineclassify_llama3_1_8b_zero_shot.csv,0.46153846153846156,0.21428571428571427,0.2926829268292683,7.0,21.0,27.0
none,fineclassify_llama3_1_8b_zero_shot.csv,0.9310133060388945,0.7480263157894737,0.8295485636114911,337.0,1505.0,6053.0
bitter frustration,fineclassify_llama3_1_8b_zero_shot_auto_cot.csv,0.24420529801324503,0.5995934959349594,0.34705882352941175,913.0,197.0,492.0
impatience,fineclassify_llama3_1_8b_zero_shot_auto_cot.csv,0.06686217008797654,0.42857142857142855,0.1156773211567732,1591.0,152.0,266.0
mocking,fineclassify_llama3_1_8b_zero_shot_auto_cot.csv,0.25,0.010050251256281407,0.01932367149758454,6.0,196.0,198.0
irony,fineclassify_llama3_1_8b_zero_shot_auto_cot.csv,0.07352941176470588,0.078125,0.07575757575757576,63.0,58.0,63.0
vulgarity,fineclassify_llama3_1_8b_zero_shot_auto_cot.csv,0.28888888888888886,0.18309859154929578,0.22413793103448276,32.0,53.0,66.0
threat,fineclassify_llama3_1_8b_zero_shot_auto_cot.csv,0.23809523809523808,0.21739130434782608,0.22727272727272727,16.0,18.0,23.0
ia (name calling),fineclassify_llama3_1_8b_zero_shot_auto_cot.csv,0.1111111111111111,0.10714285714285714,0.10909090909090909,24.0,23.0,26.0
none,fineclassify_llama3_1_8b_zero_shot_auto_cot.csv,0.9335274138767589,0.6328947368421053,0.7543618898255244,274.0,2222.0,6070.0
bitter frustration,fineclassify_llama3_2_3b_fewshot_3.csv,0.24166666666666667,0.17682926829268292,0.20422535211267606,273.0,380.0,467.0
impatience,fineclassify_llama3_2_3b_fewshot_3.csv,0.0505166475315729,0.16541353383458646,0.0773966578715919,827.0,213.0,257.0
mocking,fineclassify_llama3_2_3b_fewshot_3.csv,0.027544691718350965,0.7587939698492462,0.053159654990318606,5331.0,45.0,196.0
irony,fineclassify_llama3_2_3b_fewshot_3.csv,0.046511627906976744,0.0625,0.05333333333333334,82.0,59.0,63.0
vulgarity,fineclassify_llama3_2_3b_fewshot_3.csv,0.0,0.0,0.0,1.0,66.0,66.0
threat,fineclassify_llama3_2_3b_fewshot_3.csv,0.0,0.0,0.0,1.0,22.0,22.0
ia (name calling),fineclassify_llama3_2_3b_fewshot_3.csv,0.012578616352201259,0.07142857142857142,0.0213903743315508,157.0,23.0,25.0
none,fineclassify_llama3_2_3b_fewshot_3.csv,0.896551724137931,0.0042763157894736845,0.008512031429039123,3.0,5867.0,5893.0
bitter frustration,fineclassify_llama3_2_3b_fewshot_5.csv,0.20593080724876442,0.508130081300813,0.29308323563892147,964.0,234.0,484.0
impatience,fineclassify_llama3_2_3b_fewshot_5.csv,0.019402985074626865,0.19548872180451127,0.035302104548540394,2628.0,211.0,263.0
mocking,fineclassify_llama3_2_3b_fewshot_5.csv,0.03885291396854764,0.6331658291457286,0.07321324811156305,3117.0,73.0,199.0
irony,fineclassify_llama3_2_3b_fewshot_5.csv,0.0,0.0,0.0,2.0,63.0,63.0
vulgarity,fineclassify_llama3_2_3b_fewshot_5.csv,0.5,0.014084507042253521,0.0273972602739726,1.0,67.0,68.0
threat,fineclassify_llama3_2_3b_fewshot_5.csv,0.0,0.0,0.0,0.0,23.0,23.0
ia (name calling),fineclassify_llama3_2_3b_fewshot_5.csv,0.0,0.0,0.0,0.0,28.0,28.0
none,fineclassify_llama3_2_3b_fewshot_5.csv,0.6666666666666666,0.0003289473684210526,0.0006575702778234424,1.0,6014.0,6016.0
bitter frustration,fineclassify_llama3_2_3b_oneshot.csv,0.2631578947368421,0.3252032520325203,0.2909090909090909,448.0,323.0,483.0
impatience,fineclassify_llama3_2_3b_oneshot.csv,0.05328376703841388,0.3233082706766917,0.09148936170212765,1528.0,175.0,261.0
